Player,Span,Start_Year,End_Year,Career_Lenght,Mat,Inns,NO,Runs,HS,HS_Numeric,HS_NotOut,Ave,BF,SR,100,50,0,4s,6s, Runs_Per_Match ,Century_Rate,Fifty_Rate,Consistency_Score
Ahmed Faiz (MAL),2019-2019,2019,2019,0,10,10,1,202,45,45,0,22.44,179,112.84,0,0,0,14,6, 20.20 ,0.00,0.00,58.60
JJ Atkinson (HKG),2014-2016,2014,2016,2,13,12,0,202,53,53,0,16.83,187,108.02,0,1,3,22,6, 15.54 ,0.00,7.69,53.31
R Gunasekera (CAN),2012-2013,2012,2013,1,8,8,0,202,65,65,0,25.25,188,107.44,0,1,0,23,4, 25.25 ,0.00,12.50,58.13
J Botha (SA),2006-2012,2006,2012,6,40,20,9,201,34,34,0,18.27,165,121.81,0,0,1,15,9, 5.03 ,0.00,0.00,59.69
J Butler (GUE),2019-2019,2019,2019,0,9,8,1,201,65*,65,1,28.71,214,93.92,0,1,0,20,1, 22.33 ,0.00,11.11,54.79
KS Leverock (BMUDA),2019-2019,2019,2019,0,12,12,2,201,43*,43,1,20.1,165,121.81,0,0,3,16,11, 16.75 ,0.00,0.00,60.78
DM Gondaria (KENYA),2013-2019,2013,2019,6,11,9,2,199,85*,85,1,28.42,157,126.75,0,1,0,12,6, 18.09 ,0.00,9.09,67.75
R Panchal (ESP),2019-2019,2019,2019,0,9,8,3,199,71*,71,1,39.8,185,107.56,0,1,0,9,7, 22.11 ,0.00,11.11,66.90
Sompal Kami (NEPAL),2014-2019,2014,2019,5,28,19,6,198,40,40,0,15.23,176,112.5,0,0,1,15,7, 7.07 ,0.00,0.00,54.14
Sohail Tanvir (PAK),2007-2017,2007,2017,10,57,25,8,196,41,41,0,11.52,164,119.51,0,0,2,16,9, 3.44 ,0.00,0.00,54.72
Yasir Ali (ESP),2019-2019,2019,2019,0,9,9,3,196,57,57,0,32.66,183,107.1,0,1,1,11,9, 21.78 ,0.00,11.11,62.44
Aarif Sheikh (NEPAL),2018-2019,2018,2019,1,11,10,2,194,39*,39,1,24.25,181,107.18,0,0,0,18,4, 17.64 ,0.00,0.00,57.42
Fawad Alam (PAK),2007-2010,2007,2010,3,24,17,6,194,28,28,0,17.63,169,114.79,0,0,1,7,7, 8.08 ,0.00,0.00,56.49
Asad Shafiq (PAK),2010-2012,2010,2012,2,10,10,0,192,38,38,0,19.2,185,103.78,0,0,0,19,2, 19.20 ,0.00,0.00,53.03
S Davizi (CZK-R),2019-2019,2019,2019,0,2,2,0,192,101,101,0,96,133,144.36,1,1,0,14,10, 96.00 ,50.00,50.00,115.34
Mukhtar Ahmed (PAK),2015-2015,2015,2015,0,6,6,0,192,83,83,0,32,134,143.28,0,2,0,23,5, 32.00 ,0.00,33.33,76.51
R Rohan (SGP),2019-2019,2019,2019,0,10,10,0,191,49,49,0,19.1,156,122.43,0,0,1,23,6, 19.10 ,0.00,0.00,60.43
Ahmed Hassan (Mald),2019-2019,2019,2019,0,11,10,0,189,53,53,0,18.9,192,98.43,0,1,0,18,2, 17.18 ,0.00,9.09,50.71
SR Patel (ENG),2011-2013,2011,2013,2,18,14,2,189,67,67,0,15.75,173,109.24,0,1,2,17,5, 10.50 ,0.00,5.56,53.15
IR Bell (ENG),2006-2014,2006,2014,8,8,8,1,188,60*,60,1,26.85,163,115.33,0,1,0,23,2, 23.50 ,0.00,12.50,62.24
CD McMillan (NZ),2005-2007,2005,2007,2,8,7,1,187,57,57,0,31.16,117,159.82,0,1,0,8,14, 23.38 ,0.00,12.50,82.62
SP Patil (UAE),2014-2016,2014,2016,2,18,13,0,187,37,37,0,14.38,218,85.77,0,0,3,16,4, 10.39 ,0.00,0.00,42.94
JDS Neesham (NZ),2012-2019,2012,2019,7,18,15,4,185,42,42,0,16.81,131,141.22,0,0,1,19,8, 10.28 ,0.00,0.00,66.57
Umar Adam (Mald),2019-2019,2019,2019,0,11,10,1,185,53,53,0,20.55,149,124.16,0,1,1,19,6, 16.82 ,0.00,9.09,61.99
BJ Hodge (AUS),2007-2014,2007,2014,7,15,11,4,183,36,36,0,26.14,144,127.08,0,0,0,9,7, 12.20 ,0.00,0.00,66.52
XM Marshall (USA/WI),2008-2019,2008,2019,11,13,13,0,183,36,36,0,14.07,185,98.91,0,0,2,13,6, 14.08 ,0.00,0.00,48.01
Mosaddek Hossain (BDESH),2016-2019,2016,2019,3,14,13,4,183,34*,34,1,20.33,173,105.78,0,0,1,10,5, 13.07 ,0.00,0.00,54.51
Mohammad Rizwan (PAK),2015-2019,2015,2019,4,16,13,2,180,33*,33,1,16.36,184,97.82,0,0,1,14,2, 11.25 ,0.00,0.00,48.94
C Tommy (VAN),2019-2019,2019,2019,0,12,11,0,180,47,47,0,16.36,191,94.24,0,0,2,6,8, 15.00 ,0.00,0.00,47.51
CAJ Meschede (GER),2019-2019,2019,2019,0,5,5,1,179,67,67,0,44.75,115,155.65,0,1,1,9,14, 35.80 ,0.00,20.00,89.11
Nazimuddin (BDESH),2007-2008,2007,2008,1,7,7,0,178,81,81,0,25.42,158,112.65,0,1,2,13,10, 25.43 ,0.00,14.29,60.31
Kaleem Shah (Moz),2019-2019,2019,2019,0,7,7,1,176,72*,72,1,29.33,170,103.52,0,1,1,21,4, 25.14 ,0.00,14.29,59.01
Mohammad Naveed (UAE),2015-2019,2015,2019,4,31,24,10,176,27*,27,1,12.57,147,119.72,0,0,3,17,8, 5.68 ,0.00,0.00,55.43
MR Marsh (AUS),2011-2018,2011,2018,7,11,11,3,175,36,36,0,21.87,151,115.89,0,0,0,7,9, 15.91 ,0.00,0.00,59.48
LPC Silva (SL),2006-2011,2006,2011,5,16,15,2,175,38,38,0,13.46,177,98.87,0,0,0,19,3, 10.94 ,0.00,0.00,47.62
NN Odhiambo (KENYA),2007-2013,2007,2013,6,24,20,2,174,41,41,0,9.66,177,98.3,0,0,3,17,4, 7.25 ,0.00,0.00,45.12
L Vincent (NZ),2006-2007,2006,2007,1,9,9,0,174,42,42,0,19.33,174,100,0,0,1,17,3, 19.33 ,0.00,0.00,51.60
Karan KC (NEPAL),2015-2019,2015,2019,4,25,16,5,173,40*,40,1,15.72,126,137.3,0,0,2,9,12, 6.92 ,0.00,0.00,64.35
Nouman Sarwar (QAT),2019-2019,2019,2019,0,14,9,6,172,47*,47,1,57.33,128,134.37,0,0,1,16,6, 12.29 ,0.00,0.00,88.15
IK Pathan (INDIA),2006-2012,2006,2012,6,24,14,7,172,33*,33,1,24.57,144,119.44,0,0,0,9,7, 7.17 ,0.00,0.00,62.52
HAM Shah (DEN),2019-2019,2019,2019,0,9,8,0,172,40,40,0,21.5,168,102.38,0,0,0,18,2, 19.11 ,0.00,0.00,53.85
GD Elliott (NZ/World),2009-2017,2009,2017,8,17,15,4,171,27,27,0,15.54,157,108.91,0,0,0,12,2, 10.06 ,0.00,0.00,52.89
Simi Singh (IRE),2018-2019,2018,2019,1,18,17,2,169,57*,57,1,11.26,144,117.36,0,1,5,12,6, 9.39 ,0.00,5.56,53.70
M Vijay (INDIA),2010-2015,2010,2015,5,9,9,0,169,48,48,0,18.77,154,109.74,0,0,1,13,8, 18.78 ,0.00,0.00,55.16
ME Trescothick (ENG),2005-2006,2005,2006,1,3,3,0,166,72,72,0,55.33,131,126.71,0,2,0,23,1, 55.33 ,0.00,66.67,83.88
DJ Willey (ENG),2015-2019,2015,2019,4,28,19,7,166,29*,29,1,13.83,126,131.74,0,0,1,8,10, 5.93 ,0.00,0.00,60.99
Umar Gul (PAK),2007-2016,2007,2016,9,60,27,9,165,32,32,0,9.16,156,105.76,0,0,6,11,10, 2.75 ,0.00,0.00,47.80
Tarun Sharma (Mex),2019-2019,2019,2019,0,8,8,1,164,49*,49,1,23.42,160,102.5,0,0,1,12,6, 20.50 ,0.00,0.00,55.05
TN de Grooth (NL),2008-2013,2008,2013,5,15,13,5,163,49,49,0,20.37,155,105.16,0,0,0,16,1, 10.87 ,0.00,0.00,54.29
RA Jadeja (INDIA),2009-2019,2009,2019,10,46,22,8,163,25,25,0,11.64,165,98.78,0,0,2,7,4, 3.54 ,0.00,0.00,46.50
TWM Latham (NZ),2012-2017,2012,2017,5,13,10,0,163,39,39,0,16.3,157,103.82,0,0,0,12,2, 12.54 ,0.00,0.00,51.31
PD Hennessy (ESP),2019-2019,2019,2019,0,8,7,0,162,71,71,0,23.14,132,122.72,0,1,1,11,7, 20.25 ,0.00,12.50,62.97
H Davids (SA),2012-2013,2012,2013,1,9,9,0,161,68,68,0,17.88,134,120.14,0,2,2,18,4, 17.89 ,0.00,22.22,58.78
NMS Param (SGP),2019-2019,2019,2019,0,8,7,2,160,72*,72,1,32,118,135.59,0,1,0,12,6, 20.00 ,0.00,12.50,73.44
RW Chakabva (ZIM),2008-2019,2008,2019,11,12,12,1,159,48,48,0,14.45,134,118.65,0,0,4,12,7, 13.25 ,0.00,0.00,56.13
JP Faulkner (AUS),2012-2017,2012,2017,5,24,18,7,159,41*,41,1,14.45,138,115.21,0,0,0,7,5, 6.63 ,0.00,0.00,54.75
MC Henriques (AUS),2009-2017,2009,2017,8,11,8,3,159,62*,62,1,31.8,122,130.32,0,2,0,8,7, 14.45 ,0.00,18.18,71.21
Junaid Siddique (BDESH),2007-2012,2007,2012,5,7,7,0,159,71,71,0,22.71,108,147.22,0,1,1,16,7, 22.71 ,0.00,14.29,72.51
A Mansale (VAN),2019-2019,2019,2019,0,14,14,0,159,38,38,0,11.35,151,105.29,0,0,4,14,5, 11.36 ,0.00,0.00,48.93
Mohamed Arief (MAL),2019-2019,2019,2019,0,5,5,1,159,52*,52,1,39.75,114,139.47,0,1,0,18,4, 31.80 ,0.00,20.00,79.64
RR Watson (SCOT),2007-2010,2007,2010,3,10,9,0,159,54,54,0,17.66,141,112.76,0,1,1,22,1, 15.90 ,0.00,10.00,55.70
JL Ontong (SA),2008-2015,2008,2015,7,14,10,0,158,48,48,0,15.8,109,144.95,0,0,1,6,11, 11.29 ,0.00,0.00,67.46
Mudassar Bukhari (NL),2008-2016,2008,2016,8,38,26,8,157,28*,28,1,8.72,152,103.28,0,0,1,10,4, 4.13 ,0.00,0.00,46.54
